"Category number","Share","Lower bound","Upper bound","Sector value","Distribution name","Number of categories","Row name","Source code","Section name","Row value","Category name"
"Category 6",37.359771,35.37,39.35,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","3.0 to 3.4"
"Category 7",34.42318,32.67,36.17,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","0.5 to 0.9"
"Category 2",0.263307,0.13,0.4,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","1.0 to 1.4"
"Category 3",1.162744,0.74,1.58,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","1.5 to 1.9"
"Category 4",6.455821,5.78,7.13,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","2.0 to 2.4"
"Category 5",12.319866,11.26,13.38,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","2.5 to 2.9"
"Category 6",36.021672,34.57,37.47,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","3.0 to 3.4"
"Category 7",43.754623,42.07,45.44,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","3.5 to 4.0"
"Category 1",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","0.5 to 0.9"
"Category 2",0.11342,-0.06,0.28,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","1.0 to 1.4"
"Category 3",0.266088,0.06,0.47,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","1.5 to 1.9"
"Category 4",3.571039,2.48,4.67,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","2.0 to 2.4"
"Category 5",6.907018,5.27,8.55,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","2.5 to 2.9"
"Category 6",28.711787,25.85,31.58,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","3.0 to 3.4"
"Category 7",60.430649,57.35,63.51,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","3.5 to 4.0"
"Category 1",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","0.5 to 0.9"
"Category 2",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","1.0 to 1.4"
"Category 3",1.63433,-0.06,3.33,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","1.5 to 1.9"
"Category 4",9.950186,3.56,16.34,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","2.0 to 2.4"
"Category 5",14.713932,4.22,25.21,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","2.5 to 2.9"
"Category 6",29.383424,21.57,37.2,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","3.0 to 3.4"
"Category 7",43.877534,36.68,51.08,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","0.5 to 0.9"
"Category 2",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","1.0 to 1.4"
"Category 3",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","1.5 to 1.9"
"Category 4",9.17689,0.2,18.15,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","2.0 to 2.4"
"Category 5",15.656049,6.96,24.36,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","2.5 to 2.9"
"Category 6",31.812972,12.93,50.69,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","3.0 to 3.4"
"Category 7",39.862932,23.5,56.22,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","3.5 to 4.0"
"Category 1",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","0.5 to 0.9"
"Category 2",0.18522,-0.03,0.4,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","1.0 to 1.4"
"Category 3",1.493878,0.6,2.38,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","1.5 to 1.9"
"Category 4",6.297873,4.67,7.93,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","2.0 to 2.4"
"Category 5",11.178121,9.25,13.11,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","2.5 to 2.9"
"Category 6",32.576197,29.16,36,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","3.0 to 3.4"
"Category 7",48.268711,44.7,51.84,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","3.5 to 4.0"
"Category 1",0.029685,0,0.06,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","0.5 to 0.9"
"Category 2",0.403422,0.25,0.55,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","1.0 to 1.4"
"Category 3",1.770835,1.41,2.13,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","1.5 to 1.9"
"Category 4",10.299643,9.47,11.13,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","2.0 to 2.4"
"Category 5",16.212979,15.26,17.17,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","2.5 to 2.9"
"Category 6",36.60842,35.27,37.94,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","3.0 to 3.4"
"Category 7",34.675017,33.26,36.09,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","3.5 to 4.0"
"Category 1",0.042548,0,0.09,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","0.5 to 0.9"
"Category 2",0.386817,0.16,0.61,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","1.0 to 1.4"
"Category 3",1.075463,0.73,1.42,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","1.5 to 1.9"
"Category 4",8.371335,7.39,9.35,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","2.0 to 2.4"
"Category 5",14.384394,13.15,15.62,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","2.5 to 2.9"
"Category 6",35.959586,34.27,37.65,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","3.0 to 3.4"
"Category 7",39.779856,38.16,41.4,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","0.5 to 0.9"
"Category 2",0.672596,0.19,1.16,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","1.0 to 1.4"
"Category 3",3.288593,2.11,4.47,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","1.5 to 1.9"
"Category 4",14.45975,11.58,17.33,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","2.0 to 2.4"
"Category 5",21.274486,18.43,24.12,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","2.5 to 2.9"
"Category 6",39.12163,34.01,44.23,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","3.0 to 3.4"
"Category 7",21.182945,18.03,24.34,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","0.5 to 0.9"
"Category 2",0.265416,0.04,0.49,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","1.0 to 1.4"
"Category 3",2.193129,1.07,3.32,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","1.5 to 1.9"
"Category 4",10.000528,8.75,11.25,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","2.0 to 2.4"
"Category 5",17.13364,14.98,19.28,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","2.5 to 2.9"
"Category 6",39.156695,35.98,42.33,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","3.0 to 3.4"
"Category 7",31.213084,28.47,33.95,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","1.0 to 1.4"
"Category 3",0.78981,-0.1,1.68,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","1.5 to 1.9"
"Category 4",10.077874,6.13,14.03,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","2.0 to 2.4"
"Category 5",13.807658,8.83,18.78,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","2.5 to 2.9"
"Category 6",36.603301,30.1,43.11,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","3.0 to 3.4"
"Category 7",38.237813,31.98,44.5,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","1.0 to 1.4"
"Category 3",1.73038,-0.59,4.05,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","1.5 to 1.9"
"Category 4",23.120564,3.76,42.48,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","2.0 to 2.4"
"Category 5",20.587643,-1.73,42.9,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","2.5 to 2.9"
"Category 6",17.503215,6.58,28.43,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","3.0 to 3.4"
"Category 7",35.792062,24.1,47.48,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","1.5 to 1.9"
"Category 4",7.765017,-3.4,18.93,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","2.0 to 2.4"
"Category 5",31.348478,8.68,54.01,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","2.5 to 2.9"
"Category 6",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","3.0 to 3.4"
"Category 7",52.5934,28.91,76.28,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","1.0 to 1.4"
"Category 3",3.517776,1.2,5.83,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","1.5 to 1.9"
"Category 4",15.782997,9.98,21.59,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","2.0 to 2.4"
"Category 5",17.337332,12.17,22.5,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","2.5 to 2.9"
"Category 6",31.590831,25.6,37.58,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","3.0 to 3.4"
"Category 7",31.568033,25.53,37.61,"Public 2-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","0.5 to 0.9"
"Category 2",0.08764,0,0.17,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","1.0 to 1.4"
"Category 3",0.464436,0.34,0.59,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","1.5 to 1.9"
"Category 4",3.453118,3.15,3.76,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","2.0 to 2.4"
"Category 5",8.777369,8.32,9.24,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","2.5 to 2.9"
"Category 6",30.621578,29.91,31.33,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","3.0 to 3.4"
"Category 7",56.595859,55.76,57.43,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","0.5 to 0.9"
"Category 2",0.052071,-0.08,0.18,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","1.0 to 1.4"
"Category 3",0.328228,0.2,0.45,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","1.5 to 1.9"
"Category 4",2.501085,2.17,2.83,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","2.0 to 2.4"
"Category 5",7.143769,6.61,7.68,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","2.5 to 2.9"
"Category 6",27.702376,26.7,28.71,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","3.0 to 3.4"
"Category 7",62.272471,61.15,63.39,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","0.5 to 0.9"
"Category 2",0.037376,0,0.08,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","1.0 to 1.4"
"Category 3",0.855357,0.49,1.22,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","1.5 to 1.9"
"Category 4",7.229238,5.86,8.6,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","2.0 to 2.4"
"Category 5",15.217092,13.67,16.77,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","2.5 to 2.9"
"Category 6",37.254886,35.06,39.45,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","3.0 to 3.4"
"Category 7",39.406051,37.16,41.66,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","0.5 to 0.9"
"Category 2",0.225279,0.03,0.42,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","1.0 to 1.4"
"Category 3",0.559807,0.17,0.95,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","1.5 to 1.9"
"Category 4",4.443767,3.7,5.19,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","2.0 to 2.4"
"Category 5",10.486802,9.13,11.85,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","2.5 to 2.9"
"Category 6",35.12536,33.52,36.73,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","3.0 to 3.4"
"Category 7",49.158985,47.39,50.93,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Hispanic or Latino","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","1.0 to 1.4"
"Category 3",0.219923,-0.03,0.47,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","1.5 to 1.9"
"Category 4",1.583062,0.85,2.32,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","2.0 to 2.4"
"Category 5",5.146927,2.78,7.52,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","2.5 to 2.9"
"Category 6",27.890788,25.16,30.62,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","3.0 to 3.4"
"Category 7",65.146599,62.04,68.25,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Asian","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","1.5 to 1.9"
"Category 4",2.706143,-0.26,5.67,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","2.0 to 2.4"
"Category 5",14.89671,5.18,24.62,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","2.5 to 2.9"
"Category 6",34.251567,21.97,46.54,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","3.0 to 3.4"
"Category 7",45.88343,35.9,55.87,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","1.5 to 1.9"
"Category 4",8.995351,-2.61,20.6,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","2.0 to 2.4"
"Category 5",9.599665,-0.33,19.53,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","2.5 to 2.9"
"Category 6",42.205092,13.47,70.94,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","3.0 to 3.4"
"Category 7",39.199893,15.34,63.06,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Native Hawaiian/Pacific Islander","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","1.0 to 1.4"
"Category 3",0.799762,0.18,1.42,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","1.5 to 1.9"
"Category 4",4.024437,2.46,5.59,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","2.0 to 2.4"
"Category 5",10.01208,7.76,12.27,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","2.5 to 2.9"
"Category 6",31.233893,27.93,34.54,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","3.0 to 3.4"
"Category 7",53.785937,50.09,57.48,"Public 4-year","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","More than one race","3.5 to 4.0"
"Category 1",0.025584,-0.01,0.06,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","0.5 to 0.9"
"Category 2",0.186568,0.09,0.29,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","1.0 to 1.4"
"Category 3",0.714768,0.39,1.04,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","1.5 to 1.9"
"Category 4",5.345174,4.58,6.11,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","2.0 to 2.4"
"Category 5",9.617464,8.62,10.62,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","2.5 to 2.9"
"Category 6",30.355007,28.45,32.26,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","3.0 to 3.4"
"Category 7",53.755435,51.21,56.3,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","3.5 to 4.0"
"Category 1",NA,NA,NA,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","0.5 to 0.9"
"Category 2",0.095933,0.02,0.17,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","1.0 to 1.4"
"Category 3",0.24322,0.06,0.42,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","1.5 to 1.9"
"Category 4",3.277835,2.19,4.36,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","2.0 to 2.4"
"Category 5",7.660866,6.4,8.93,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","2.5 to 2.9"
"Category 6",26.973602,24.95,29,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","3.0 to 3.4"
"Category 7",61.741107,58.86,64.62,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","3.5 to 4.0"
"Category 1",NA,NA,NA,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","0.5 to 0.9"
"Category 2",0.308239,-0.13,0.74,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","1.0 to 1.4"
"Category 3",1.087976,0.38,1.8,"Other","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","1.5 to 1.9"
