"Target value","Lower bound","Upper bound","Sector value","Target name","Row name","Measure name","Source code","Section name","Row value"
6743.956046,5581.91,7906,"Other","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Black or African American"
7480.891825,5968.69,8993.1,"Other","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Hispanic or Latino"
14605.285074,11622.21,17588.36,"Other","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Asian"
5925.024488,2577.44,9272.61,"Other","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Native American"
3989.365209,1210.92,6767.81,"Other","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Native Hawaiian/Pacific Islander"
11049.702624,8636.56,13462.84,"Other","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","More than one race"
6067.630066,5776.94,6358.32,"Total","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","Total"
5127.191825,4180.82,6073.57,"Total","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","Middle school/junior high"
4493.040693,4235.28,4750.8,"Total","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","High school"
5655.197325,5409.61,5900.79,"Total","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","College or beyond"
996.302361,948.77,1043.84,"Public 2-year","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","Total"
1293.044013,1136.08,1450,"Public 2-year","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","Middle school/junior high"
976.603211,911.04,1042.17,"Public 2-year","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","High school"
964.452909,897.22,1031.68,"Public 2-year","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","College or beyond"
4396.742496,4312.09,4481.4,"Public 4-year","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","Total"
5680.973581,5308.77,6053.18,"Public 4-year","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","Middle school/junior high"
4435.000041,4292.46,4577.54,"Public 4-year","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","High school"
4000.965508,3910.45,4091.48,"Public 4-year","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","College or beyond"
10389.119211,9621.01,11157.22,"Other","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","Total"
7592.119095,4712.61,10471.63,"Other","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","Middle school/junior high"
7639.18805,6668.51,8609.86,"Other","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","High school"
12512.452024,11555.91,13468.99,"Other","Total state and institutional grants","Parents' Highest Education Level","Average","mqkvve","A1 Averages","College or beyond"
5205.548234,4983.12,5427.97,"Total","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Total"
5055.760796,4663.92,5447.6,"Total","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Bottom quartile"
5437.548696,5102.25,5772.84,"Total","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Lower-middle quartile"
5369.755017,5065.65,5673.86,"Total","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Upper-middle quartile"
4838.713261,4514.89,5162.54,"Total","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Top quartile"
996.868376,946.11,1047.62,"Public 2-year","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Total"
1136.746671,1040.19,1233.3,"Public 2-year","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Bottom quartile"
1092.119081,1010.2,1174.04,"Public 2-year","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Lower-middle quartile"
871.663917,802.62,940.71,"Public 2-year","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Upper-middle quartile"
656.190921,575.98,736.4,"Public 2-year","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Top quartile"
4230.563002,4151.55,4309.57,"Public 4-year","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Total"
5256.554394,5081.21,5431.9,"Public 4-year","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Bottom quartile"
4995.175484,4839.08,5151.27,"Public 4-year","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Lower-middle quartile"
3648.924753,3494.68,3803.17,"Public 4-year","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Upper-middle quartile"
2575.321327,2466.59,2684.06,"Public 4-year","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Top quartile"
10265.651307,9371.04,11160.26,"Other","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Total"
8214.633572,6905.28,9523.99,"Other","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Bottom quartile"
9738.869409,8448.79,11028.95,"Other","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Lower-middle quartile"
12524.806294,11332.89,13716.73,"Other","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Upper-middle quartile"
11447.120097,10295.1,12599.14,"Other","Total state and institutional grants","Income Quartile","Average","qjbcsf","A1 Averages","Top quartile"
5205.548234,4983.12,5427.97,"Total","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Total"
4242.911094,3911.25,4574.58,"Total","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Zero EFC"
5794.654203,5549.63,6039.67,"Total","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Nonzero EFC"
996.868376,946.11,1047.62,"Public 2-year","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Total"
1047.786872,970.99,1124.58,"Public 2-year","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Zero EFC"
953.392985,904.03,1002.75,"Public 2-year","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Nonzero EFC"
4230.563002,4151.55,4309.57,"Public 4-year","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Total"
4813.587375,4677.78,4949.39,"Public 4-year","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Zero EFC"
3965.651344,3876.77,4054.53,"Public 4-year","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Nonzero EFC"
10265.651307,9371.04,11160.26,"Other","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Total"
6184.205507,5116.88,7251.54,"Other","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Zero EFC"
13412.583633,12347.62,14477.55,"Other","Total state and institutional grants","Zero EFC Status","Average","wyykxf","A1 Averages","Nonzero EFC"
5205.548234,4983.12,5427.97,"Total","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Total"
5007.201784,4782.18,5232.22,"Total","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Not a Pell recipient"
5352.185477,5049.04,5655.33,"Total","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Pell recipient"
996.868376,946.11,1047.62,"Public 2-year","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Total"
702.769173,655.39,750.15,"Public 2-year","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Not a Pell recipient"
1211.304241,1140.38,1282.23,"Public 2-year","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Pell recipient"
4230.563002,4151.55,4309.57,"Public 4-year","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Total"
3039.021783,2948.96,3129.08,"Public 4-year","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Not a Pell recipient"
5256.495653,5136.31,5376.68,"Public 4-year","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Pell recipient"
10265.651307,9371.04,11160.26,"Other","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Total"
13473.535546,12403.82,14543.25,"Other","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Not a Pell recipient"
8454.966752,7423.5,9486.43,"Other","Total state and institutional grants","Pell Recipient Status","Average","eqnnof","A1 Averages","Pell recipient"
5205.548234,4983.12,5427.97,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Total"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Alabama"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Alaska"
3820.979596,2957.93,4684.03,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Arizona"
3235.579044,2983.79,3487.37,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Arkansas"
5058.199688,4387.21,5729.19,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","California"
3428.803198,2490.06,4367.55,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Colorado"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Connecticut"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Delaware"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","District of Columbia"
4057.377436,2669.58,5445.17,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Florida"
5761.796221,4625.84,6897.75,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Georgia"
3555.21168,2698.91,4411.51,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Hawaii"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Idaho"
7673.070572,6651.01,8695.13,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Illinois"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Indiana"
6383.580934,5730.26,7036.91,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Iowa"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Kansas"
4649.094382,4193.28,5104.9,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Kentucky"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Louisiana"
4454.890169,3950.94,4958.84,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Maine"
4431.304962,3565.6,5297.01,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Maryland"
8923.969542,6621.18,11226.76,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Massachusetts"
5111.817405,4432.52,5791.12,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Michigan"
7852.095632,6195.15,9509.04,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Minnesota"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Mississippi"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Missouri"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Montana"
4918.5029,3765.53,6071.48,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Nebraska"
1716.276113,1425.09,2007.46,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Nevada"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New Hampshire"
5319.483054,4072.38,6566.59,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New Jersey"
2886.180506,2541.38,3230.99,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New Mexico"
8170.702987,6373.35,9968.06,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New York"
3785.012744,3414.97,4155.05,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","North Carolina"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","North Dakota"
6566.008802,5205.07,7926.95,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Ohio"
2595.553652,2096.88,3094.22,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Oklahoma"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Oregon"
6400.294434,4420.13,8380.45,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Pennsylvania"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Rhode Island"
6108.270266,5082.94,7133.6,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","South Carolina"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","South Dakota"
4764.986298,4383.24,5146.73,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Tennessee"
4344.173416,3311.98,5376.37,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Texas"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Utah"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Vermont"
9950.665104,8188.27,11713.06,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Virginia"
4925.061573,4356.82,5493.3,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Washington"
4929.457269,3528.88,6330.03,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","West Virginia"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Wisconsin"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Wyoming"
NA,NA,NA,"Total","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Puerto Rico"
996.868376,946.11,1047.62,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Total"
404.403364,281.65,527.16,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Alabama"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Alaska"
215.14823,121.33,308.97,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Arizona"
678.393211,453.41,903.38,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Arkansas"
1195.465849,1027.49,1363.44,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","California"
2095.376914,1593.77,2596.98,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Colorado"
442.695529,376.27,509.12,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Connecticut"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Delaware"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","District of Columbia"
452.447432,153.08,751.81,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Florida"
1250.402071,1015.03,1485.78,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Georgia"
841.228782,670.36,1012.1,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Hawaii"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Idaho"
549.88745,424.98,674.8,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Illinois"
1568.224197,1283.57,1852.88,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Indiana"
824.940365,647.72,1002.17,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Iowa"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Kansas"
1410.634618,1185.75,1635.52,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Kentucky"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Louisiana"
1104.096557,917.28,1290.91,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Maine"
516.598887,260.76,772.43,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Maryland"
994.200788,796.28,1192.12,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Massachusetts"
646.737636,396.3,897.18,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Michigan"
975.629993,879.63,1071.63,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Minnesota"
543.013949,356.16,729.86,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Mississippi"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Missouri"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Montana"
707.078497,424.78,989.37,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Nebraska"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Nevada"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New Hampshire"
747.693278,603.8,891.59,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New Jersey"
1001.1884,608.37,1394.01,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New Mexico"
1920.55713,1664.75,2176.37,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New York"
736.391503,583.73,889.06,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","North Carolina"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","North Dakota"
329.729523,234.83,424.63,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Ohio"
741.141403,541.65,940.63,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Oklahoma"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Oregon"
495.080919,416.06,574.1,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Pennsylvania"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Rhode Island"
1912.410046,1490.27,2334.55,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","South Carolina"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","South Dakota"
2087.604915,1959.65,2215.56,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Tennessee"
629.603749,511.13,748.07,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Texas"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Utah"
871.858699,422.66,1321.06,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Vermont"
609.504525,516.46,702.55,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Virginia"
718.916552,495.18,942.65,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Washington"
1103.911485,804.79,1403.04,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","West Virginia"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Wisconsin"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Wyoming"
NA,NA,NA,"Public 2-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Puerto Rico"
4230.563002,4151.55,4309.57,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Total"
NA,NA,NA,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Alabama"
NA,NA,NA,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Alaska"
6815.601218,5991.5,7639.7,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Arizona"
4483.025968,4122.52,4843.53,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Arkansas"
7173.803767,6777.16,7570.45,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","California"
3132.92909,2814.51,3451.35,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Colorado"
NA,NA,NA,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Connecticut"
NA,NA,NA,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Delaware"
NA,NA,NA,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","District of Columbia"
2678.744561,2278.01,3079.48,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Florida"
3488.125393,3175.37,3800.88,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Georgia"
3322.326808,2838.75,3805.9,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Hawaii"
NA,NA,NA,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Idaho"
6433.436581,5973.34,6893.53,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Illinois"
NA,NA,NA,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Indiana"
3021.807459,2309.8,3733.82,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Iowa"
2441.40404,2184.36,2698.45,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Kansas"
5558.218737,4903.56,6212.88,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Kentucky"
5680.430346,5492.21,5868.65,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Louisiana"
2753.127433,2477.21,3029.04,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Maine"
2845.318761,2419.42,3271.21,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Maryland"
4203.048415,3930.76,4475.33,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Massachusetts"
4695.199659,4358.26,5032.14,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Michigan"
3506.616237,3205.04,3808.19,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Minnesota"
5016.317506,4428.64,5603.99,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Mississippi"
NA,NA,NA,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Missouri"
NA,NA,NA,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Montana"
2046.98448,624.36,3469.61,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Nebraska"
1956.444031,1677.39,2235.5,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","Nevada"
5418.072659,5028.39,5807.76,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New Hampshire"
4393.077677,3751.49,5034.67,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New Jersey"
4301.133808,3693.11,4909.16,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New Mexico"
4527.717807,4229.93,4825.51,"Public 4-year","Total state and institutional grants","Institution State","Average","xrstdb","A1 Averages","New York"
