"Category number","Share","Lower bound","Upper bound","Sector value","Distribution name","Number of categories","Row name","Source code","Section name","Row value","Category name"
"Category 4",8.280917,7.32,9.24,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","2.0 to 2.4"
"Category 5",14.429669,13.27,15.59,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","2.5 to 2.9"
"Category 6",36.176248,34.56,37.8,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","3.0 to 3.4"
"Category 7",39.629898,38.06,41.19,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","0.5 to 0.9"
"Category 2",0.741509,0.27,1.21,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","1.0 to 1.4"
"Category 3",3.236299,2.12,4.36,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","1.5 to 1.9"
"Category 4",14.379074,11.58,17.18,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","2.0 to 2.4"
"Category 5",21.324934,18.47,24.18,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","2.5 to 2.9"
"Category 6",38.67413,33.29,44.06,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","3.0 to 3.4"
"Category 7",21.644054,17.8,25.49,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","0.5 to 0.9"
"Category 2",0.287853,0.08,0.5,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","1.0 to 1.4"
"Category 3",2.352934,1.14,3.56,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","1.5 to 1.9"
"Category 4",9.872871,8.63,11.11,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","2.0 to 2.4"
"Category 5",17.0489,14.98,19.12,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","2.5 to 2.9"
"Category 6",39.240117,36.05,42.43,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","3.0 to 3.4"
"Category 7",31.160912,28.5,33.82,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","1.0 to 1.4"
"Category 3",0.782056,-0.1,1.67,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","1.5 to 1.9"
"Category 4",10.097979,6.21,13.98,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","2.0 to 2.4"
"Category 5",13.947519,9.01,18.88,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","2.5 to 2.9"
"Category 6",36.406121,29.95,42.87,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","3.0 to 3.4"
"Category 7",38.287529,32.16,44.42,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","1.0 to 1.4"
"Category 3",1.696214,-0.56,3.95,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","1.5 to 1.9"
"Category 4",22.664053,3.77,41.56,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","2.0 to 2.4"
"Category 5",20.861413,-1.01,42.73,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","2.5 to 2.9"
"Category 6",18.069218,7.27,28.87,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","3.0 to 3.4"
"Category 7",35.467965,24.13,46.8,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","1.5 to 1.9"
"Category 4",6.946048,-3.15,17.04,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","2.0 to 2.4"
"Category 5",29.482673,8.07,50.9,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","2.5 to 2.9"
"Category 6",11.938428,-5.51,29.39,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","3.0 to 3.4"
"Category 7",47.118476,25.36,68.88,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","1.0 to 1.4"
"Category 3",3.414192,1.21,5.61,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","1.5 to 1.9"
"Category 4",15.748741,10.2,21.3,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","2.0 to 2.4"
"Category 5",18.154625,13.12,23.19,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","2.5 to 2.9"
"Category 6",30.901746,25.14,36.66,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","3.0 to 3.4"
"Category 7",31.587825,25.77,37.4,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","0.5 to 0.9"
"Category 2",0.082128,0.01,0.15,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","1.0 to 1.4"
"Category 3",0.441179,0.32,0.56,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","1.5 to 1.9"
"Category 4",3.38369,3.09,3.68,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","2.0 to 2.4"
"Category 5",8.630037,8.19,9.07,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","2.5 to 2.9"
"Category 6",30.308985,29.65,30.97,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","3.0 to 3.4"
"Category 7",57.152835,56.38,57.92,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","0.5 to 0.9"
"Category 2",0.055142,-0.06,0.17,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","1.0 to 1.4"
"Category 3",0.296443,0.19,0.4,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","1.5 to 1.9"
"Category 4",2.423434,2.12,2.73,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","2.0 to 2.4"
"Category 5",6.919735,6.44,7.4,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","2.5 to 2.9"
"Category 6",27.388636,26.51,28.27,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","3.0 to 3.4"
"Category 7",62.914444,61.92,63.91,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","0.5 to 0.9"
"Category 2",0.032157,0,0.07,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","1.0 to 1.4"
"Category 3",0.802676,0.49,1.12,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","1.5 to 1.9"
"Category 4",7.109229,5.89,8.32,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","2.0 to 2.4"
"Category 5",15.724514,14.22,17.23,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","2.5 to 2.9"
"Category 6",37.634034,35.71,39.55,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","3.0 to 3.4"
"Category 7",38.697391,36.62,40.78,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","0.5 to 0.9"
"Category 2",0.209087,0.03,0.39,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","1.0 to 1.4"
"Category 3",0.524652,0.17,0.88,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","1.5 to 1.9"
"Category 4",4.412433,3.71,5.11,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","2.0 to 2.4"
"Category 5",10.297673,8.99,11.6,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","2.5 to 2.9"
"Category 6",35.087115,33.54,36.63,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","3.0 to 3.4"
"Category 7",49.469041,47.8,51.14,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","1.0 to 1.4"
"Category 3",0.232538,0,0.47,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","1.5 to 1.9"
"Category 4",1.745069,0.99,2.5,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","2.0 to 2.4"
"Category 5",5.041317,2.86,7.22,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","2.5 to 2.9"
"Category 6",26.901181,24.24,29.57,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","3.0 to 3.4"
"Category 7",66.068499,63.04,69.1,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","1.0 to 1.4"
"Category 3",3.230954,-0.93,7.39,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","1.5 to 1.9"
"Category 4",2.151941,-0.33,4.64,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","2.0 to 2.4"
"Category 5",14.345168,4.78,23.91,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","2.5 to 2.9"
"Category 6",33.05726,20.48,45.63,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","3.0 to 3.4"
"Category 7",47.214677,36.91,57.52,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","1.5 to 1.9"
"Category 4",8.634779,-2.08,19.34,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","2.0 to 2.4"
"Category 5",10.162694,0.58,19.74,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","2.5 to 2.9"
"Category 6",43.434867,16.75,70.11,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","3.0 to 3.4"
"Category 7",37.767661,15.81,59.73,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","1.0 to 1.4"
"Category 3",0.776156,0.24,1.32,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","1.5 to 1.9"
"Category 4",3.959076,2.49,5.43,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","2.0 to 2.4"
"Category 5",9.706059,7.59,11.82,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","2.5 to 2.9"
"Category 6",31.110376,28.03,34.19,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","3.0 to 3.4"
"Category 7",54.324426,50.8,57.84,"Public 4-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","3.5 to 4.0"
"Category 1",0.0222,0,0.05,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","0.5 to 0.9"
"Category 2",0.136386,0.07,0.2,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","1.0 to 1.4"
"Category 3",0.827247,0.38,1.28,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","1.5 to 1.9"
"Category 4",4.575604,3.98,5.18,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","2.0 to 2.4"
"Category 5",8.706381,7.88,9.53,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","2.5 to 2.9"
"Category 6",28.695134,27.09,30.3,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","3.0 to 3.4"
"Category 7",57.037049,54.87,59.21,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","3.5 to 4.0"
"Category 1",NA,NA,NA,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","0.5 to 0.9"
"Category 2",0.059948,0.02,0.1,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","1.0 to 1.4"
"Category 3",0.201934,0.09,0.32,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","1.5 to 1.9"
"Category 4",3.014402,2.21,3.82,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","2.0 to 2.4"
"Category 5",6.745446,5.6,7.89,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","2.5 to 2.9"
"Category 6",26.258495,24.56,27.96,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","3.0 to 3.4"
"Category 7",63.703352,61.22,66.19,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","3.5 to 4.0"
"Category 1",0.055362,-0.01,0.12,"Other","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","0.5 to 0.9"
